,Team,Country_ID,Year,Season,City,Sport,Event,Medal
3,Denmark/Sweden,DEN,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
37,Finland,FIN,1920,Summer,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
38,Finland,FIN,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
40,Finland,FIN,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
41,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
42,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
44,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold
48,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
50,Finland,FIN,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze
60,Norway,NOR,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,Gold
61,Norway,NOR,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
63,Norway,NOR,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,Silver
64,Norway,NOR,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
67,Norway,NOR,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,Silver
73,Norway,NOR,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Gold
76,Norway,NOR,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,Gold
78,Norway,NOR,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,Gold
79,Norway,NOR,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
86,Norway,NOR,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
91,Netherlands,NED,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze
92,Netherlands,NED,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver
105,Norway,NOR,1996,Summer,Atlanta,Football,Football Women's Football,Bronze
106,Norway,NOR,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
110,Norway,NOR,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
113,Norway,NOR,1960,Winter,Squaw Valley,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
117,Taifun,NOR,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Gold
150,France,FRA,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold
158,Italy,ITA,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
159,Spain,ESP,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze
161,Azerbaijan,AZE,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
163,Russia,RUS,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
172,Belarus,BLR,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
173,France,FRA,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
174,France,FRA,2012,Summer,London,Handball,Handball Men's Handball,Gold
175,France,FRA,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
178,Cameroon,CMR,2000,Summer,Sydney,Football,Football Men's Football,Gold
182,Spain,ESP,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold
186,United States,USA,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
188,Spain,ESP,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
191,Spain,ESP,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze
195,Russia,RUS,2004,Summer,Athina,Cycling,Cycling Women's Sprint,Silver
200,France,FRA,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
208,Hungary,HUN,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver
210,Hungary,HUN,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
214,Italy,ITA,1936,Summer,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
218,Italy,ITA,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold
219,Italy,ITA,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Gold
220,Italy,ITA,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
221,Italy,ITA,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
222,Italy,ITA,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
223,Italy,ITA,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
226,Italy,ITA,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
227,Italy,ITA,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
228,Italy,ITA,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
268,Thessalonki-1,GRE,1906,Summer,Athina,Football,Football Men's Football,Bronze
274,Australia,AUS,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
278,United States,USA,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze
283,United States,USA,1900,Summer,Paris,Golf,Golf Women's Individual,Gold
286,United States,USA,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
311,United States,USA,2004,Summer,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver
450,Iran,IRI,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
476,Canada,CAN,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
524,Pakistan,PAK,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold
